hyNo,c_HYNAME,j_HYNAME
165,耶穌懷抱我,イエスの御腕に
166,在主蔭庇之下,主は我が大盾
167,十架精兵,十字架の精兵
168,精兵前進,進め兵士
169,善惡對敵,ますらお勇みて
170,為主勇往,立てよいざ立て
171,教會惟一根基,真イエス教会
172,你該得勝,戦に勝つ勇士よ
173,十架旌旗,真理のため
174,真教會必興起,真の教会
175,百折不回,四方に敵かこみ
176,常常有勝利,我らは常に勝利
177,切莫順從誘惑,屈するなかれ
178,趁還有今天,今日こそ時
179,預備進天國,神の審判の日
180,永生門路,誰にても悪なさば
181,我必前進,主よ我れゆかん
182,往前走,すすめ　すすめ
183,通往直前,進み行けよ
184,奔跑天路,深き谷も
185,思慕天家,我が為備え給いし
186,我家乃在天,我が家は天にあり
187,來到美地,永くも待ちわびし
188,榮歸天鄉,会いたや彼らに
189,天城美景,あな楽しきかな
190,天國的人,御国に住む人々
191,我家在天,天の我が家
192,十架領路,十字架に依りて
193,榮耀天國,栄えの国
194,安息在天家,戦い終わらば
195,羡慕福地,新しき天地を待ち望み
196,榮美福地,あぁ　ビュウラ
197,非金也非銀,救いの道は唯一つ
198,靠主領回天家,帰らせたまえ
199,天上快樂家,御空のかなた
200,思慕天鄉,天なるふるさと
201,永遠的榮耀,悩み多き世を去りて
202,天上安樂處,救いをなし給う
203,百合花,麗しの白百合
204,因信有盼望,主にある我らの望み
205,在基督裏必復活,よみがえりし主
206,我必親見主面,御顔を仰ぎて
207,思念主來,いつか知らねど
208,聖徒被提,世の終わりのラッパ
209,我必當面見主,御傍近くへと
210,當我行完今生路,業を成し終えて
211,天父監察,我が主の目は何処にいても
212,為主發光,主の為に輝こう
213,積少成多,ささやかなる
214,八福頌,八つの幸い
215,真教會美德,真の教会
216,聖徒美德,真の教えを
217,力行主道,主イエスの教えに
218,聖靈佳果,御霊の良き実
219,隨處發光,照らせ照らせ
220,火煉精金,純金のように
221,克制情欲,御国へ行く身は
222,清心有福,幸なるかな
223,選民靈歌,聖徒の歌
224,求主察看,神よ私を究め
225,順從聖靈,聖霊の恵み
226,願成主旨,御旨がなるよう
227,聽命有福,イエスの言葉聞く幸せ
228,遵命有福,尊きいましめ
229,謹守十誡,十戒
230,義人有福,幸いなり
231,照主所願,主よ御旨をなさせ給え
232,要同耶穌一樣,主イエスと同じに
233,聯屬耶穌,神の子らの
234,與主日近,主よ御許に
235,主我一體,主のものに
236,我屬耶穌,神の子とされし今
237,耶穌住在我心,イエスを信ぜしより
238,來居我心，主耶穌！,来たりませ主イエス
239,求主同住,主よ共にやどりませ
240,與主同樂,楽しや主ともに
241,我生命的君王,生命賜いし我が君
242,主在門外等候,主　戸口に立ちて
243,引我更親近,主よ我れは君のもの
244,主，我願像你,キリストの形成り
245,求主密相契,静けきゆうべに
246,懇求聖靈,主の御霊よ
247,聖靈權能,御霊の力
248,我要求聖靈,我求む御霊を
249,靈洗各人,昔　御弟子らに
250,從新得力,御霊よ守りて
251,聖靈的洗,聖霊のバプテスマ
252,渴慕聖靈充滿,渇ける人々
253,聖靈已來,御約束の聖霊
254,方言寶貴,貴き異言を
255,主今夜賜福,豊かなみ恵み
256,恩雨大降,雨を降りそそぎ
257,儆醒祈禱,目覚めて祈れ
258,禁食祈禱,断食の祈り
259,恆切禱告,静けき祈りの
260,清晨頌主,安けきかな
261,晚禱感恩,今日も日と共に
262,與神靈交,神の子祈るは
263,耶穌恩友,我らの罪咎
264,求主垂憐,主よ聞き給え
392,任主差派,主が遣わすならば
393,聽！良牧慈聲,帰れ、帰れ
394,感謝神,感謝感謝イエス
395,向高處行,高きを目指して
396,我要真誠,主にある我にあるもの
397,何不今日歸耶穌？,帰れぬはなぜ？
398,為主而活,主のために生きる
399,主，我願做祢門徒,切に望む
400,我深願更像耶穌,イエス・キリストに倣い行かん
401,須用工夫成聖,追い求めよ
402,神的道路,神の道は
403,任憑主旨意,御心のごとくに
404,讚美救主,賛美、賛美　救いの主イエスを
405,你是否已禱告,あなたは祈りしか？
406,要告訴耶穌,すべて主に打ち明けよ
407,在花園裡,園にありて
408,若主今日再臨,もし主いま来たれば
409,我可願作十架精兵？,我は主の精兵？
410,再等不多時,しばらくは苦しむも
411,美麗的禱告花園,主の祈りの花園
412,寶貴禱告良辰,主よ朝ごとの我が祈りを
413,我們同心聚集,心合わせ
414,恩主與我同在,主は我と共に
415,獻上至好的,いとも良きもので
416,你可情願？,飲めるか？
417,耶穌領我回家,イエスは我を導き給う
418,一切獻在壇上,すべて祭壇の上に
419,因我得福,祝福受けるよう
420,奉獻與祢,我すべてを献げたい
421,請來赴宴,整えり祝宴
422,我錨堅固牢靠,堅固なる我が錨
423,對我述說耶穌故事,イエスの話しを聞かせてほしい
424,我王之事工,滅ばぬよう神と和解せよ
425,我屬我王,我が主は王
426,何等奇妙的救主,奇しき奇しき
427,有一故事傳給萬邦,我ら行きて伝えん
428,耶穌與我同行,イエスと共に
429,我必親見榮耀主,主来たり給う
430,我們聚集生命河邊,生命の川辺
431,全備的愛,全き愛
432,他大能手扶持我,御手は大きくて
433,奇妙平安,奇しき平安
434,在那榮耀國度,讃えよう栄光の御国
435,歌頌救贖恩主,讃え奉らん
436,我一生蒙救主引導,われを導きて
437,誰正守候在門外?,戸口に立ちて
438,頌主創造美好,創造の主をほめまつらん
439,時刻交託主,常に主に依り頼み
440,在主愛中團契,キリストの愛は
441,我立下決心,こころ定め
442,神一路引領,行くべき道教え給う
443,榮耀永歸耶穌,栄光イエスにあれ
444,耶穌聖名最甜美,イエスの御名他にはなし
445,恩典大過我罪愆,罪よりまさる恵み
446,頌讚主聖名,ほめまつれきよき御名
447,高唱和散那,共に歌おう
448,歡欣，主為君王,主をよろこべ
449,何能如此,恵みははかれぬ
450,吹響征戰號,角笛を吹き鳴らせ
451,藏身主懷,隠れ場なる主
452,我願常見祢,常に主を仰ぎ見たい
453,我是君王後嗣,われらよつぎ
454,以馬內利，懇求降臨,来たりませインマヌエル
455,最美聖名,すべて超え優る御名
456,歸 家,故郷よ
457,耶穌奇妙的救恩,主イエスの救い妙なるかな
458,你在哪裡？,あなたはどこにいたの？
459,約旦河畔,ヨルダンの岸辺で
460,願主賜福保祐你,主の祝福があるように
461,快拋救生索,救いの手すみやかに
462,哈利路亞，奇妙君王,ハレルヤ　我が君
463,當歡欣喜樂,よろこぼう
464,先賢所信,ひとたび伝えし福音
465,到各山嶺去傳揚,超え行き伝えよ
466,讚美耶穌基督,賛美イエス
467,主的應許,時遅しと
468,寶貴回憶,思い出たどれば
469,靈恩大會,霊恩会
